X;Y;AREA;INTERSECCI;CALLE_2;CALLE_1;CONTROLADO;DIRECCION NORMALIZADA;CALLE;CRUCE
-58,4414513678916;-34,585246976587;4;VEGA NICETO CNEL.- CARRANZA;CARRANZA;VEGA NICETO CNEL.;AUTOTROL CT800DMC;CARRANZA, ANGEL JUSTINIANO Y VEGA, NICETO, CNEL. AV.;CARRANZA, ANGEL JUSTINIANO;VEGA, NICETO, CNEL. AV.
-58,4185539388057;-34,585267842666;3;MALABIA-GUEMEZ;GUEMEZ;MALABIA;SIEMENS STC M4-20;GUEMES Y MALABIA;GUEMES;MALABIA
-58,4209585448342;-34,585307574528;3;ARMENIA-CHARCAS;CHARCAS;ARMENIA;SIEMENS STC M4-20;CHARCAS Y ARMENIA;CHARCAS;ARMENIA
-58,4269919954571;-34,585310504535;3;THAMES-SOLER;SOLER;THAMES;SIEMENS STC M4-20;SOLER Y THAMES;SOLER;THAMES
-58,3886378132408;-34,585323737716;3;DEL LIBERTADOR AV.-SCHIAFFINO;SCHIAFFINO;DEL LIBERTADOR AV.;SIEMENS STC M4-20;SCHIAFFINO, EDUARDO Y DEL LIBERTADOR AV.;SCHIAFFINO, EDUARDO;DEL LIBERTADOR AV.
-58,4347549022502;-34,585372004779;3;JUSTO JUAN B. AV.-HONDURAS;HONDURAS;JUSTO JUAN B. AV.;SIEMENS STC M4-20;HONDURAS Y JUSTO, JUAN B. AV.;HONDURAS;JUSTO, JUAN B. AV.
-58,4434785739343;-34,585400846547;4;CORDOBA AV.-RAVIGNANI EMILIO DR.;RAVIGNANI EMILIO DR.;CORDOBA AV.;AUTOTROL CT800DMC;RAVIGNANI, EMILIO, DR. Y CORDOBA AV.;RAVIGNANI, EMILIO, DR.;CORDOBA AV.
-58,5111528551411;-34,585461597118;8;CAMPANA-OBISPO SAN ALBERTO;OBISPO SAN ALBERTO;CAMPANA;SIEMENS CLS95;OBISPO SAN ALBERTO Y CAMPANA;OBISPO SAN ALBERTO;CAMPANA
-58,3902616642650;-34,585494335429;1;ALVEAR AV.-POSADAS;POSADAS;ALVEAR AV.;SIEMENS STC M4-20;POSADAS Y ALVEAR AV.;POSADAS;ALVEAR AV.
-58,4058969565266;-34,585512409437;3;BILLINGHURST-PEÑA;PEÑA;BILLINGHURST;SIEMENS STC M4-20;PEÑA Y BILLINGHURST;PEÑA;BILLINGHURST
-58,3933201238097;-34,585540353598;1;PUEYRREDONAV.-AZCUENAGA;AZCUENAGA;PUEYRREDONAV.;SIEMENS CLS95;AZCUENAGA Y PUEYRREDON AV.;AZCUENAGA;PUEYRREDON AV.
-58,3991169597208;-34,585762135237;3;LAS HERAS AV.-AGUERO;AGUERO;LAS HERAS AV.;SIEMENS STC M4-20;AGUERO Y LAS HERAS GENERAL AV.;AGUERO;LAS HERAS GENERAL AV.
-58,4149915716540;-34,585789381218;3;SANTA FE AV.-ARAOZ;ARAOZ;SANTA FE AV.;SIEMENS CLS214PLUS;ARAOZ Y SANTA FE AV.;ARAOZ;SANTA FE AV.
-58,4116902081433;-34,585798804632;3;SALGUERO JERONIMO-BERUTI;BERUTI;SALGUERO JERONIMO;SIEMENS STC M4-20;BERUTI Y SALGUERO, JERONIMO;BERUTI;SALGUERO, JERONIMO
-58,3874438542338;-34,585902905470;3;DEL LIBERTADOR AV.-AYACUCHO;AYACUCHO;DEL LIBERTADOR AV.;SIEMENS STC M4-20;AYACUCHO Y DEL LIBERTADOR AV.;AYACUCHO;DEL LIBERTADOR AV.
